Title,Description,Release,Director,Rating,Duration,Votes,Genre,Stars
Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",2019,Anthony Russo,8.4,181,1028.0,"Action, Adventure, Drama","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Io sono nessuno,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",I) ,Ilya Naishuller,7.4,92,214104.0,"Action, Crime, Drama","Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen, Christopher Lloyd"
Kingsman: Secret Service,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",2014,Matthew Vaughn,7.7,129,646704.0,"Action, Adventure, Comedy","Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine"
Top Gun: Maverick,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",2022,Joseph Kosinski,,,,"Action, Drama","Tom Cruise, Jennifer Connelly, Miles Teller, Jean Louisa Kelly"
Tenet,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",2020,Christopher Nolan,7.4,150,458576.0,"Action, Sci-Fi, Thriller","John David Washington, Robert Pattinson, Elizabeth Debicki, Juhan Ulfsak"
Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",2021,Zack Snyder,8.1,242,365858.0,"Action, Adventure, Fantasy","Henry Cavill, Ben Affleck, Gal Gadot, Amy Adams"
Il Signore degli Anelli - Gli Anelli del Potere,"Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.",2022,Peter Mullan,,,,"Action, Adventure, Drama","Peter Mullan, Benjamin Walker, Nazanin Boniadi, Morfydd Clark"
Jackass Forever,"After 11 years, the Jackass crew is back for another crusade.",2022,Jeff Tremaine,7.5,96,13649.0,"Documentary, Action, Comedy","Johnny Knoxville, Steve-O, Chris Pontius, Dave England"
FBI: Most Wanted,It follows the division of the FBI tasked with tracking and capturing the notorious criminals on the FBI's Most Wanted list.,2020,Julian McMahon,6.9,45,6842.0,"Action, Crime, Drama","Julian McMahon, Roxy Sternberg, Keisha Castle-Hughes, YaYa Gosselin"
La ruota del tempo,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan.",2021,Rosamund Pike,7.2,60,90994.0,"Action, Adventure, Drama","Rosamund Pike, Daniel Henney, Madeleine Madden, Zoë Robins"
