SONG,ARTIST,GENRE,ALBUM,ALBUM DATE,LENGTH,POPULARITY,DANCE,ENERGY,HAPPY,SPEECH,ACOUSTIC,INSTRUMENTAL,LIVE,LOUD,TEMP,KEY,CAMELOT,TIME SIGNATURE,ID
Bitter Sweet,Roxy Music,Mellow Gold,Country Life,1974,4:50,30,51,43,13,4,26,15,9,-9 db,118,D Minor,7A,4,5CNyyQlUaE9xe16XctPHI1
Still Loving You,Scorpions,German Metal,Comeblack,2011,6:43,77,28,61,8,3,0,0,10,-5 db,104,F#/G♭ Minor,11A,4,0RdUX4WE0fO30VnlUbDVL6
Sevmemeliyiz,Sena Şener,Turkish Alt Pop,İnsan Gelir İnsan Geçer,2018,5:58,68,60,38,23,3,70,0,10,-7 db,134,F Minor,4A,3,7sNgPpXH3mDpC12yRUqEtz
 Bir Çocuk Sevdim,Sezen Aksu,Turkish Pop,Sezen Aksu '88,1988,4:55,60,47,68,49,5,46,0,14,-6 db,144,D#/E♭ Minor,2A,4,7itO53A67K3FDQD3LHU0te
 Kaybolan Yıllar,Sezen Aksu,Turkish Pop,Serçe,1978,3:07,66,30,66,60,3,3,0,19,-6 db,113,G Minor,6A,4,2EZbRSf8OVdFvtQY4QDv6O
Raindrops,Shamrain,Gothic Metal,Goodbye To All That,2007,4:30,53,47,61,19,3,0,2,16,-5 db,106,E Minor,9A,4,46bJS3Nvci8pt5fUqjMRIx
To Leave,Shamrain,Gothic Metal,Someplace Else,2005,4:27,52,36,69,35,3,0,22,20,-5 db,160,E Minor,9A,4,1qcxdQUQ4nljA7pHJBX3Yc
Anastasia,Slash,Hard Rock,Apocalyptic Love,2012,6:07,59,45,94,44,4,0,0,12,-5 db,100,C♯/D♭ Major,3B,4,3jaJeSphs7bS5Gt3i5LJL3
Seasons In The Abyss,Slayer,Old School Trash,Seasons In The Abyss,1990,6:37,60,26,97,17,16,0,0,9,-4 db,152,F Minor,4A,4,3Ky8IzV8IVSwijtaTWB2SK
Zombie,The Cranberries,Pop Rock,No Need To Argue,1994,5:06,84,31,65,31,4,2,1,37,-9 db,167,G Major,9B,4,7EZC6E7UjZe63f1jRmkWxt
T.V. Eye,The Stooges,Permanent Wave,Funhouse,1970,4:17,40,41,95,36,4,0,40,47,-14 db,133,D Major,10B,4,7mvN904TRvKl9CPQXFJ16t
Behind Blue Eyes,The Who,British Invasion,Who's Next,1971,3:41,73,39,62,34,3,21,0,9,-8 db,127,E Minor,9A,4,0cKk8BKEi7zXbdrYdyqBP5
Past Perfect,Thurisaz,Belgian Black Metal,Circadian Rhythm,2007,3:43,42,43,55,16,3,44,0,20,-9 db,180,F Minor,4A,3,6sqwApv3afyzPJHbX6dXjG
We're Not Gonna Take It,Twisted Sister,Glam Metal,Stay Hungry,1984,3:39,77,50,92,92,5,1,0,16,-6 db,149,E Major,12B,4,1hlveB9M6ijHZRbzZ2teyh
Umrumda Değil,UZI,Turkish Trap,Kan,2021,3:05,76,71,68,18,11,29,0,9,-6 db,105,F#/G♭ Minor,11A,4,72t3CRd8YEFrlc3x0OVaob
Wild Child,W.A.S.P.,Glam Metal,The Last Command,1985,5:12,64,37,86,39,5,6,0,19,-8 db,146,F Minor,4A,4,3iC3Numiy9P3AkF7iioKmx
Still of the Night,Whitesnake,Glam Metal,Whitesnake,1987,6:37,62,33,85,28,5,0,0,16,-8 db,100,E Minor,9A,4,7AtwQRLPdttsxcLM5tPL0t
